主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
加入國軍開啟人生無限可能,"文宣品
小帽",102,9-9,56000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題
媒體執行細節：運用於招募展場及宣導活動之文宣品，全年度運用。
預算類別：公務預算
"
加入國軍開啟人生無限可能,"文宣品
面紙",102,9-9,13000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題及年度招募班隊資訊
媒體執行細節：運用於招募展場及宣導活動之文宣品，全年度運用。
預算類別：公務預算
"
加入國軍開啟人生無限可能,"文宣品
摺頁",102,9-9,21000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題及年度招募班隊資訊
媒體執行細節：運用於招募展場及宣導活動之文宣摺頁，全年度運用。
預算類別：公務預算
"
海軍軍官學校,運動手環,102,02/9-02/9,60000.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/3各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
海軍軍官學校,藍色帆布提袋,102,02/9-02/9,89400.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/4各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
海軍軍官學校,紙磚     (便利貼),102,02/9-02/9,88000.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/5各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
海軍軍官學校,A5海軍風貼紙,102,02/9-02/9,31250.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/6各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
海軍軍官學校,KUSO貼紙,102,02/9-02/9,60000.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/7各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,1/1-5/31,980000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102.01.01~102.05.31/台鐵通勤電聯車頭版頭條廣告/90面
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,1/1-5/31,1458750.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102.01.01~102.05.31/新北市公車候車亭廣告/9座
預算類別：公務預算
"
開啟人生無限可能,"平面媒體
",102,1/1-5/31,955000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102.01.01-102.05.31/台中火車站上、下行月台/各1面

預算類別：公務預算
"
開啟人生無限可能,"平面媒體
",102,1/1-4/30,727500.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102.01.01-102.04.30/台中市公車站牌/120點
預算類別：公務預算
"
選擇空軍彩繪自己精采人生,平面媒體,102,1/28-1/28,80000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：蘋果日報招生廣告刊登102.01.28(D4版)
預算類別：公務預算
"
選擇空軍彩繪自己精采人生,平面媒體,102,1/28-1/28,95000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：家樂福推車廣告
預算類別：公務預算
"
選擇空軍彩繪自己精采人生,"平面媒體
",102,2-2,96000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102年2月LIVE互動英語144號刊（封面內頁）
預算類別：公務預算
"
選擇空軍彩繪自己精采人生,平面媒體,102,2-2,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：102年元月、二月合訂本就業情報(封底)
預算類別：公務預算
"
選擇空軍彩繪自己精采人生,平面媒體,102,2-2,50000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：台東車站燈箱廣告
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生","平面媒體
",102,4-4,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102年4月空中美語刊（封面內頁）
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,4-4,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：102年4月常春藤解析英語（封底內頁）
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,2/5-3/4,95000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：巨報廣告刊登(102.2.5-102.3.4日6版）
預算類別：公務預算
"
選擇空軍，彩繪自己精采人生,平面媒體,102,2/5-3/4,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：大學歷屆學測英文試題及詳解本(版位：頁底廣告)
預算類別：公務預算
"
選擇空軍，彩繪自己精采人生,平面媒體,102,3-3,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：活用空中美語雜誌3月號(版位裡頁廣告)
預算類別：公務預算
"
選擇空軍，彩繪自己精采人生,平面媒體,102,3-3,96000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：LIVE互動英語雜誌3月號(版位:封面裡廣告)
預算類別：公務預算
"
選擇空軍，彩繪自己精采人生,平面媒體,102,2-2,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：常春藤解析英語雜誌2月號(版位:封底裡)
預算類別：公務預算
"
選擇空軍，彩繪自己精采人生,戶外媒體,102,1/20-1/20,95000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：家樂福手推車招生廣告刊登(102/1/20~2/19於鼎山、屏東家樂福)
預算類別：公務預算
"
選擇空軍，彩繪自己精采人生,平面媒體,102,1/27-1/27,80000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：蘋果日報廣告刊登(102.1.27 版位：體育版)
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,1/27-1/27,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：就業情報(封底)
預算類別：公務預算
"
選擇空軍，彩繪自己精采人生,平面媒體,102,1/27-1/27,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等招募班次宣導文宣
媒體執行細節：Career職場情報誌(版位：頁底廣告)
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,6/22-7/21,98000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：澎湖馬公機場燈箱廣告
1020622-1020721
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,7/1-7/3,36000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：Upaper大學考場報
彩色全版
1020701-1020703
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,"7/2-7/8, 7/16-7/22",95000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：嘉義巨報
1020702-1020708、1020709-1020715
1020716-1020722、1020723-1020729
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生","平面媒體
",102,1-1,80000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102年1月18至24日時報周刊1822號刊（封面內頁）
預算類別：公務預算
"
選擇空軍，彩繪自己精彩人生,平面媒體,102,1-1,60000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102年1月28聯合晚報刊登
預算類別：公務預算
"
選擇空軍，彩繪自己精彩人生,平面媒體,102,2/8-2/8,80000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102年2月8日頻果日報D2版面
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,3-3,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102年3月號長春藤（封面內頁）
預算類別：公務預算
"
選擇空軍，彩繪自己精彩人生,平面媒體,102,3-3,98000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102年3月職場情報誌442號刊（封面內頁）
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,8-8,98000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：cheer就業情報雜誌(8月號)
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,8/29-8/29,80000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：壹週刊
(8/29日出刊)
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,9/27-10/3,80000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：時報周刊內頁廣告
1858期
1020927-1021003
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,9/27-10/3,98000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：行遍天下旅遊月刊
10210(封底裡)
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,10/19-10/19,95000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：投資情報周刊
1021019(封面裡)
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,10/24-10/24,98000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：理財周刊
1021024
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,10/9-10/9,91000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：台灣高鐵大時刻表廣告
1021009
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,10/2-10/2,45000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：台灣新生報
1021002
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,9/26-10/25,92000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：花蓮航空站燈箱廣告
1020926-1021025
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,9/10-10/9,92000.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：嘉義國光客運站廣告
1020910~1021009
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,9/26-10/25,98500.0,空軍,國防部,"宣導計畫、政策內容：本軍招募訊息廣告
媒體執行細節：金門水頭馬頭燈箱廣告
1020926-1021025
預算類別：公務預算
"
募兵招募宣導,電視媒體,102,7/18-7/18,2000.0,後備,國防部,"宣導計畫、政策內容：募兵制招募文宣廣告
媒體執行細節：7/18、7/19，共2天
澎湖縣有線電視股份有限公司
預算類別：公務預算
"
陸軍篇、海軍篇、空軍篇,平面媒體,102,5/15-5/15,99000.0,政戰局,國防部,"宣導計畫、政策內容：募兵制招募文宣漫畫摺頁
媒體執行細節：102年5月15日起透過各項活動時機發放
預算類別：公務預算
"
臥虎藏龍、鍛鍊,電視媒體,102,5/16-5/16,23600.0,政戰局,國防部,"宣導計畫、政策內容：募兵制招募文宣短片
媒體執行細節：102年5月16日起透過6家無線電視台、全國59家有線電視公司及19處LCD看板
預算類別：公務預算
"
加入國軍、開啟人生無限可能,平面媒體,102,7-7,60000.0,政戰局,國防部,"宣導計畫、政策內容：募兵制招募文宣廣告
媒體執行細節：卓越雜誌7月號P.9全版
預算類別：公務預算
"
國防大學理工學院系所簡介暨招生廣告,平面媒體,102,7/20-7/20,97100.0,國防大學,國防部,"宣導計畫、政策內容：理工學院院務及系所簡介暨博碩士正期班招生時間
媒體執行細節：102年7月20日大學博覽會發放
預算類別：公務預算
"
國防部電訊發展室民國102年招募班隊,平面媒體,102,7/20-7/20,79400.0,"電訊
發展室",國防部,"宣導計畫、政策內容：募兵制招募文宣廣告
媒體執行細節：本室102年度志願役專業預備軍官預備士官班、專業志願士兵暨儲備士官招募事宜
預算類別：公務預算
"
開啟人生無限可能,平面媒體,102,7/20-7/20,40500.0,國軍人才招募中心,國防部,"宣導計畫、政策內容：辦理國軍102年度各招募班隊宣導文宣等
媒體執行細節：國軍人才招募中心1樓客服大廳燈箱廣告
預算類別：公務預算
"
開啟人生無限可能,平面媒體,102,7/20-7/20,847767.0,國軍人才招募中心,國防部,"宣導計畫、政策內容：辦理國軍102年度各招募班隊宣導文宣
媒體執行細節：招募宣傳摺頁(7-11、全家便利商店、輔導會及原民會)
預算類別：公務預算
"
開啟人生無限可能,平面媒體,102,7/20-7/20,26747.0,國軍人才招募中心,國防部,"宣導計畫、政策內容：辦理國軍102年度各招募班隊宣導文宣
媒體執行細節：招募宣傳海報(北捷、高捷、輔導會及原民會)
預算類別：公務預算
"
開啟人生無限可能,平面媒體,102,3/15-3/15,98000.0,國軍人才招募中心,國防部,"宣導計畫、政策內容：辦理國軍102年度各招募班隊宣導文宣
媒體執行細節：102.03.15Cheers2013年求職大趨勢專刊封底
預算類別：公務預算
"
開啟人生無限可能,平面媒體,102,3/15-3/15,742442.0,國軍人才招募中心,國防部,"宣導計畫、政策內容：辦理國軍102年度各招募班隊宣導文宣
媒體執行細節：招募宣傳摺頁(高鐵、台鐵及各地區招募中心)
預算類別：公務預算
"
開啟人生無限可能,平面媒體,102,4-4,98000.0,國軍人才招募中心,國防部,"宣導計畫、政策內容：辦理國軍102年度各招募班隊宣導文宣
媒體執行細節：102年4月份Career職場情報誌月刊封面底頁
預算類別：公務預算
"
"英勇戰士篇
榮譽與價值篇",電視媒體,102,4/13-4/30,97000.0,國軍人才招募中心,國防部,"宣導計畫、政策內容：國軍招募形象宣傳
媒體執行細節：102年4月13日至4月30日、5月1日至5月12日台北大食代大直旗艦店等12處直立式數位面板
預算類別：公務預算
"
開啟人生無限可能,平面媒體,102,7/1-7/31,6520.0,國軍人才招募中心,國防部,"宣導計畫、政策內容：國軍招募形象及各招募班隊訊息宣傳
媒體執行細節：102年7月1日至7月31日桃園國際機場公益燈箱A1版位
預算類別：公務預算
"
專業志願士兵,廣播媒體,102,7/8-7/8,5548060.0,國軍人才招募中心,國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：102.7.8-7.31 全國中廣音樂網(志願士兵)
預算類別：公務預算
"
